ip,port,type,country,country_code,latency_ms,tier,anonymity,streak,asn,asn_org,ip_type,source,updated_utc
137.66.1.45,80,http,United States,US,107.9,fast,elite,14,40509,"Fly.io, Inc.",unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-14T01:14:56+00:00
142.93.202.130,3128,http,United States,US,133.5,fast,elite,7,14061,"DigitalOcean, LLC",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-14T01:14:56+00:00
159.65.245.255,80,http,United States,US,138.8,fast,elite,5,14061,"DigitalOcean, LLC",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-14T01:14:56+00:00
107.150.41.226,18080,http,United States,US,146.7,fast,elite,3,33387,"Nocix, LLC",unknown,https://raw.githubusercontent.com/monosans/proxy-list/main/proxies/http.txt,2026-09-14T01:14:56+00:00
43.135.176.121,1080,socks5,United States,US,213.0,fast,elite,3,132203,"Tencent Building, Kejizhongyi Avenue",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks5.txt,2026-09-14T01:14:56+00:00
189.51.168.164,999,http,Mexico,MX,221.6,fast,elite,3,270111,Comunicacion por Fibra SA de CV,unknown,https://raw.githubusercontent.com/monosans/proxy-list/main/proxies/http.txt,2026-09-14T01:14:56+00:00
116.203.27.109,80,http,Germany,DE,280.6,fast,unknown,12,24940,Hetzner Online GmbH,datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-14T01:14:56+00:00
109.199.119.160,80,http,France,FR,290.5,fast,elite,16,51167,Contabo GmbH,datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-14T01:14:56+00:00
184.75.221.82,3118,https,Canada,CA,292.2,fast,elite,5,32489,Amanah Tech Inc.,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-14T01:14:56+00:00
165.154.162.73,8888,http,United States,US,308.3,fast,elite,4,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-14T01:14:56+00:00
162.214.159.94,8085,http,United States,US,311.1,fast,elite,11,46606,Unified Layer,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-14T01:14:56+00:00
162.214.74.29,8085,http,United States,US,316.3,fast,elite,11,46606,Unified Layer,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-14T01:14:56+00:00
178.212.144.7,80,http,Poland,PL,331.2,fast,elite,60,51436,IDEALAN Sp. z o.o.,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-14T01:14:56+00:00
16.163.88.228,80,http,Hong Kong,HK,332.4,fast,unknown,39,16509,"Amazon.com, Inc.",datacenter,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/http.txt,2026-09-14T01:14:56+00:00
107.152.98.5,4145,socks4,United States,US,346.9,fast,elite,10,46562,Performive LLC,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks4.txt,2026-09-14T01:14:56+00:00
192.252.220.89,4145,socks4,United States,US,347.9,fast,elite,2,46562,Performive LLC,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks4.txt,2026-09-14T01:14:56+00:00
199.102.105.242,4145,socks4,United States,US,349.5,fast,elite,2,46562,Performive LLC,unknown,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/master/socks4.txt,2026-09-14T01:14:56+00:00
